#{"t_start": 1733170565.426464, "env_id": "None"}
r,l,t
-7.95,30,117.255219
-13.53,24,117.331271
10.877256,57,117.476622
-15.34,28,117.537851
-13.03,34,117.618696
7.150943,40,117.738721
7.295775,29,117.828993
-7.76,28,117.935528
8.0,27,118.010647
-19.57,62,118.196922
-10.52,22,118.267098
-22.79,37,118.387528
-23.0,98,118.649343
9.701175,46,118.819991
-13.92,29,118.921304
-14.0,21,118.987443
-13.55,33,119.086767
-10.12,46,119.227864
-13.15,31,119.317179
-10.25,55,119.475362
-10.65,54,119.651883
-19.71,20,119.714539
-19.81,23,119.787284
-17.0,45,119.976571
-16.37,33,120.095139
-11.0,28,120.195369
-10.63,58,120.384091
-11.0,35,120.516407
-10.78,49,120.669929
-16.54,37,120.781713
-20.0,49,120.943617
-16.27,97,121.248113
-13.58,20,121.317176
-22.4,46,121.435151
-13.14,30,121.527827
-11.0,61,121.7246
-10.5,68,121.897542
-7.14,54,122.031942
8.0,54,122.172789
-16.42,23,122.248531
-22.15,29,122.332184
-13.62,29,122.424401
10.213178,46,122.540056
-16.18,18,122.584783
-10.61,26,122.649694
-9.94,35,122.72401
-11.0,40,122.829417
-7.33,48,122.997785
-7.92,39,123.13262
-16.91,30,123.211972
7.708333,61,123.381156
-13.04,42,123.506558
14.318278,30,123.604613
-13.95,31,123.697039
-8.0,85,123.942745
-13.51,32,124.046537
10.401735,73,124.274448
-19.29,33,124.379954
-10.3,29,124.470943
13.758278,32,124.573341
9.889336,61,124.745564
-8.0,42,124.862609
-13.41,32,124.968232
-16.48,33,125.065121
-19.56,41,125.180702
-16.58,54,125.336153
-13.33,34,125.460383
-11.0,68,125.670479
-18.19,25,125.754753
-8.0,25,125.834084
-10.88,51,125.988621
-10.4,77,126.225105
-19.02,30,126.299305
-7.55,30,126.366774
-11.0,48,126.481266
-13.27,37,126.585165
-11.0,33,126.685163
-13.79,27,126.762146
-13.61,43,126.879003
-10.37,44,127.037341
-16.13,41,127.16866
-17.0,26,127.250671
-19.05,35,127.348653
7.268868,33,127.45329
-13.25,42,127.581102
-13.49,67,127.79016
-16.93,18,127.852096
-13.55,20,127.93812
-8.0,45,128.076835
-13.14,26,128.157512
-16.03,27,128.234644
-7.86,30,128.328451
-8.0,29,128.417157
-16.65,20,128.483791
-13.82,31,128.574112
-11.0,38,128.686487
-13.31,37,128.796804
-10.25,32,128.892107
-13.07,28,128.984439
-10.76,20,129.039586
-13.49,26,129.109467
-13.38,38,129.194657
-7.4,34,129.281175
-16.84,62,129.450141
-19.64,23,129.52335
-13.53,56,129.699399
-17.0,28,129.784299
-22.62,21,129.845134
-16.64,34,129.947315
-8.0,27,130.016523
14.115132,25,130.09236
-11.0,26,130.177756
-13.14,31,130.263539
15.989314,24,130.339973
-13.53,28,130.413483
-7.7,67,130.570242
-13.23,31,130.640954
-19.63,25,130.694718
7.375451,70,130.873185
-11.0,41,130.995742
-14.0,27,131.083359
-13.07,38,131.196793
-10.63,34,131.295111
-11.0,34,131.390977
-7.05,28,131.478501
13.174513,44,131.602487
12.381074,31,131.70029
-13.27,23,131.772247
-7.7,30,131.866694
-14.0,25,131.952671
10.693878,22,132.008009
-17.0,33,132.095315
7.763636,76,132.320449
-13.75,37,132.439648
-13.27,68,132.7067
-19.57,34,132.829587
-7.3,41,132.974324
-7.7,34,133.085789
-13.91,45,133.231688
-7.91,25,133.314816
-11.0,41,133.443357
-16.44,31,133.538007
-19.31,27,133.620302
-14.0,21,133.688252
-13.42,41,133.794777
-16.07,20,133.858392
-10.37,39,134.06464
-7.66,56,134.271899
10.188421,84,134.556489
-10.24,89,134.84469
-11.0,52,135.038431
-14.0,54,135.236443
-10.81,169,135.743213
-13.6,27,135.830956
-7.21,38,135.96845
7.482014,33,136.066203
-16.29,56,136.235808
-16.94,48,136.37642
-13.88,52,136.536319
-16.05,39,136.662797
-16.93,21,136.730847
-16.14,27,137.296067
-19.77,32,137.401305
-16.7,31,137.499626
9.581969,93,137.775422
12.92962,63,137.97219
-13.18,30,138.070797
-10.16,46,138.212145
-14.0,78,138.376237
12.987601,29,138.443666
-19.69,36,138.524447
-11.0,28,138.585922
7.413655,101,138.868931
7.680412,27,138.976583
9.17155,38,139.092975
-8.0,39,139.217685
-16.06,34,139.319156
-19.89,39,139.42087
5.0,26,139.499994
-13.46,51,139.653974
11.93518,34,139.757328
-17.0,23,139.824313
-10.68,36,139.923021
-16.55,29,139.990133
-10.22,62,140.121951
-22.05,44,140.213175
-7.69,35,140.309905
-8.0,56,140.474638
-19.14,16,140.531263
10.249395,31,140.632808
-13.15,29,140.723439
9.741711,46,140.862003
-16.28,26,140.982976
9.494079,47,141.13438
-10.26,29,141.230195
-16.91,42,141.355637
-13.64,52,141.517085
-10.07,61,141.691538
-14.0,33,141.803008
-16.88,25,141.888221
-14.0,38,142.010926
-16.56,30,142.099949
-10.91,39,142.211724
